question_de,answer_de,Källa FAQ / AI
Welche Farben sind in der Lava-Serie erhältlich?,"Die folgenden Farben sind in Lava erhältlich:
  - Etna
  - Marsili
  - Salina
  - Vesuvio",AI/Cache
Welche Farben sind in der Albero-Serie erhältlich?,"Die folgenden Farben sind in der Albero-Serie verfügbar: Gelso, Mandorlo, Nocciolo",AI/Cache
Welche Farben sind in der Alpine-Serie verfügbar?,"Die folgenden Farben sind in der Alpine-Serie verfügbar: Bocote, Cobolo, Mix Dark Chevry",AI/Cache
Welche Farben sind in der Anniversario-Serie erhältlich?,"Die folgenden Farben sind in Anniversario verfügbar:
  - Gray
  - Light gray
  - Dark gray",AI/Cache
Welche Farben sind in der Antique-Serie erhältlich?,"Die folgenden Farben sind in der Antique-Serie erhältlich: Dune Carved, Nuit Carved, Opal Carved",AI/Cache
Welche Farben sind in der Ardesia-Serie erhältlich?,"Die folgenden Farben sind in der Ardesia-Serie verfügbar: Bianco, Cenere, Grigio",AI/Cache
Welche Farben sind in der Argresia-Serie erhältlich?,"Die folgenden Farben sind in Argresia verfügbar:
  - Svart",AI/Cache
Welche Farben sind in der Beton-Serie erhältlich?,"Die folgenden Farben sind in der Beton-Serie verfügbar: Cemento, Cenere, Sandalo",AI/Cache
Welche Farben sind in der Serie Cemento erhältlich?,"Die folgenden Farben sind in der Serie Cemento erhältlich: Clay, Grit, Land",AI/Cache
Welche Farben sind in der Cortina-Serie erhältlich?,"Die folgenden Farben sind in der Cortina-Serie verfügbar: Basalto, Calcite, Cenere",AI/Cache
Welche Farben sind in der Grotta-Serie erhältlich?,"Die folgenden Farben sind in der Grotta-Serie erhältlich: Porfido, Silver Black, Silver White",AI/Cache
Welche Farben sind in der Iris-Serie verfügbar?,"Die folgenden Farben sind in der Iris-Serie verfügbar: Astra, Crono, Geo",AI/Cache
Welche Farben sind in der Kvarts-Serie erhältlich?,"Die folgenden Farben sind in Kvarts verfügbar:
  - Grå",AI/Cache
Welche Farben sind in der Manhattan-Serie erhältlich?,"Die folgenden Farben sind in Manhattan verfügbar:
  - Midtown
  - Nolita
  - Soho
  - Tribeca",AI/Cache
