question_en,answer_en,Källa FAQ / AI
What colors are available in the Lava series?,"The following colors are available in Lava:
  - Etna
  - Marsili
  - Salina
  - Vesuvio",AI/Cache
What colors are available in the Albero series?,"The following colors are available in the Albero series: Gelso, Mandorlo, Nocciolo",AI/Cache
What colors are available in the Alpine series?,"The following colors are available in the Alpine series: Bocote, Cobolo, Mix Dark Chevry",AI/Cache
What colors are available in the Anniversario series?,"The following colors are available in Anniversario:
  - Gray
  - Light gray
  - Dark gray",AI/Cache
What colors are available in the Antique series?,"The following colors are available in the Antique series: Dune Carved, Nuit Carved, Opal Carved",AI/Cache
What colors are available in the Ardesia series?,"The following colors are available in the Ardesia series: Bianco, Cenere, Grigio … ",AI/Cache
What colors are available in the Argresia series?,"The following colors are available in Argresia:
  - Svart",AI/Cache
What colors are available in the Beton series?,"The following colors are available in the Beton series: Cemento, Cenere, Sandalo … ",AI/Cache
What colors are available in the Cemento series?,"The following colors are available in the Cemento series: Clay, Grit, Land … ",AI/Cache
What colors are available in the Cortina series?,"The following colors are available in the Cortina series: Basalto, Calcite, Cenere … ",AI/Cache
What colors are available in the Grotta series?,"The following colors are available in the Grotta series: Porfido, Silver Black, Silver White … ",AI/Cache
What colors are available in the Iris series?,"The following colors are available in the Iris series: Astra, Crono, Geo",AI/Cache
What colors are available in the Kvarts series?,"The following colors are available in Kvarts:
  - Grå",AI/Cache
What colors are available in the Manhattan series?,"The following colors are available in Manhattan:
  - Midtown
  - Nolita
  - Soho
  - Tribeca",AI/Cache
What colors are available in the Materia series?,"The following colors are available in Materia:
  - Upcendre
  - Upcharbon
  - Upcrete
  - Upivoire",AI/Cache
What colors are available in the Meteo series?,"The following colors are available in Meteo:
  - Dark
  - Fog
  - Salt
  - Sand",AI/Cache
What colors are available in the Mista series?,"The following colors are available in Mista:
  - Agate
  - Pearl
  - Shell
  - Tahiti",AI/Cache
What colors are available in the Nature series?,"The following colors are available in the Nature series: Nut, Nut Doga, Oak",AI/Cache
What colors are available in the Nordique series?,"The following colors are available in the Nordique series: Evo Greyge, Evo Gris Fonce, Evo Noir",AI/Cache
What colors are available in the Quartz series?,"The following colors are available in Quartz:
  - Antracite
  - Diaspro
  - Madera
  - Prasio",AI/Cache
What colors are available in the Roccia series?,"The following colors are available in Roccia:
  - Antracite
  - Cream
  - Light Grey
  - Mud",AI/Cache
What colors are available in the Slate series?,"The following colors are available in Slate:
  - Bly
  - Grafite
  - Grå",AI/Cache
What colors are available in the Stella series?,"The following colors are available in Stella:
  - Bone
  - Cement
  - Plomb",AI/Cache
What colors are available in the Stone series?,"The following colors are available in Stone:
  - Landstone
  - Nightstone
  - Silverstone
  - Sunstone",AI/Cache
What colors are available in the Strada series?,"The following colors are available in Strada:
  - Saint Luois
  - Santa Fe'
  - Santa Monica",AI/Cache
What colors are available in the Travertin series?,"The following colors are available in Travertin:
  - Beige",AI/Cache
What colors are available in the Trentino series?,"The following colors are available in the Trentino series: Avana, Canapa, Lino",AI/Cache
What colors are available in the Vintage series?,"The following colors are available in Vintage:
  - Bruges
  - Gent
  - Namur",AI/Cache
What colors are available in the Konjak series?,"The following colors are available in Konjak:
  - Konjak",AI/Cache
What sizes are klinkerdäck® available in?,The tiles are available in several different standard sizes. See our product catalog for current sizes.,AI/Cache
What colors are available?,"We offer several colors, such as gray, black, and beige.",AI/Cache
What is the weight of a plate?,A slab weighs on average 16–64 kg depending on the size.,AI/Cache
What material is klinkerdäck® made of?,The tiles are made of ceramic material with high strength.,AI/Cache
Do the tiles have any CE marking?,"Yes, klinkerdäck® is CE-marked and complies with current building standards.",AI/Cache
"Are there different surface textures (smooth, structured)?","Yes, both smooth and textured surfaces are available.",AI/Cache
Are there technical data sheets available for download?,"Yes, technical data sheets are available as PDFs on our website.",AI/Cache
Are the tiles resistant to chemicals?,"Yes, klinkerdäck® withstands common household chemicals without any issues.",AI/Cache
What tolerances apply to dimensions and shape?,The tolerances follow the European standard for ceramic outdoor tiles.,AI/Cache
