Index,Lang,Field,Original,Patched,ChangeType
0,SE,answer_se,"Följande färger finns i Lava:
- Etna (Övrigt) – format: 430x120
- Marsili (Övrigt) – format: 430x120
- Salina (Övrigt) – format: 430x120
- Vesuvio (Övrigt) – format: 430x120","Följande färger finns i Lava:
- Etna (Övrigt) – format: 430x120cm
- Marsili (Övrigt) – format: 430x120cm
- Salina (Övrigt) – format: 430x120cm
- Vesuvio (Övrigt) – format: 430x120cm",FORMAT_NORMALIZED
0,SE,answer_full_se,,MISSING_TRANSLATION,MISSING
0,EN,answer_en,"The following colors are available in Lava:
- Etna (Other) – size: 430x120
- Marsili (Other) – size: 430x120
- Salina (Other) – size: 430x120
- Vesuvio (Other) – size: 430x120","The following colors are available in Lava:
- Etna (Other) – size: 430x120cm
- Marsili (Other) – size: 430x120cm
- Salina (Other) – size: 430x120cm
- Vesuvio (Other) – size: 430x120cm",FORMAT_NORMALIZED
0,EN,answer_full_en,"The following colors are available in Lava:
- Etna (Other) – size: 430x120
- Marsili (Other) – size: 430x120
- Salina (Other) – size: 430x120
- Vesuvio (Other) – size: 430x120","The following colors are available in Lava:
- Etna (Other) – size: 430x120cm
- Marsili (Other) – size: 430x120cm
- Salina (Other) – size: 430x120cm
- Vesuvio (Other) – size: 430x120cm",FORMAT_NORMALIZED
0,DA,answer_da,"Følgende farver findes i Lava:
- Etna (Andet) – format: 430x120
- Marsili (Andet) – format: 430x120
- Salina (Andet) – format: 430x120
- Vesuvio (Andet) – format: 430x120","Følgende farver findes i Lava:
- Etna (Andet) – format: 430x120cm
- Marsili (Andet) – format: 430x120cm
- Salina (Andet) – format: 430x120cm
- Vesuvio (Andet) – format: 430x120cm",FORMAT_NORMALIZED
0,DA,answer_full_da,"Følgende farver findes i Lava:
- Etna (Andet) – format: 430x120
- Marsili (Andet) – format: 430x120
- Salina (Andet) – format: 430x120
- Vesuvio (Andet) – format: 430x120","Følgende farver findes i Lava:
- Etna (Andet) – format: 430x120cm
- Marsili (Andet) – format: 430x120cm
- Salina (Andet) – format: 430x120cm
- Vesuvio (Andet) – format: 430x120cm",FORMAT_NORMALIZED
0,DE,question_de,"Die Farbpalette der Serie Lava umfasst folgende Farben:

- Schwarz
- Grau
- Beige
- Braun
- Rot

Diese Farben bieten eine vielseitige Auswahl für verschiedene Anwendungen in der Innen- und Außengestaltung.","Die Farbpalette der Serie Lava umfasst folgende Farben:

- Schwarz
- Grau
- Beige
- Braun
- Rot

Diese Farben bieten eine vielseitige Auswahl für verschiedene Anwendungen in der Innen- und …",TRUNCATED
0,DE,answer_de,"Die folgenden Farben sind in Lava erhältlich:
- Etna (Sonstiges) – Format: 430x120
- Marsili (Sonstiges) – Format: 430x120
- Salina (Sonstiges) – Format: 430x120
- Vesuvio (Sonstiges) – Format: … Möchten Sie mehr sehen?","Die folgenden Farben sind in Lava erhältlich:
- Etna (Sonstiges) – Format: 430x120cm
- Marsili (Sonstiges) – Format: 430x120cm
- Salina (Sonstiges) – Format: 430x120cm
- Vesuvio (Sonstiges) – Format: … …",FORMAT_NORMALIZED
0,DE,answer_full_de,"Die folgenden Farben sind in Lava erhältlich:
- Etna (Sonstiges) – Format: 430x120
- Marsili (Sonstiges) – Format: 430x120
- Salina (Sonstiges) – Format: 430x120
- Vesuvio (Sonstiges) – Format: 430x120","Die folgenden Farben sind in Lava erhältlich:
- Etna (Sonstiges) – Format: 430x120cm
- Marsili (Sonstiges) – Format: 430x120cm
- Salina (Sonstiges) – Format: 430x120cm
- Vesuvio (Sonstiges) – Format: …",FORMAT_NORMALIZED
1,SE,answer_full_se,"Följande färger finns i Albero:
- Gelso (Övrigt) – format: 20x120cm40x120cm60x60cm80x180cm80x80cm- Mandorlo (Övrigt) – format: 20x120cm40x120cm60x60cm80x180cm80x80cm- Nocciolo (Övrigt) – format: 20x120cm40x120cm60x60cm80x180cm80x80cm","Följande färger finns i Albero:
- Gelso (Övrigt) – format: 20x120cm40x120cm60x60cm80x180cm80x80cm- Mandorlo (Övrigt) – format: 20x120cm40x120cm60x60cm80x180cm80x80cm- Nocciolo (Övrigt) – format: …",FORMAT_NORMALIZED
