Index,Lang,Field,ChangeType,Original,Patched
0,DE,answer_de,TRUNCATED,"Die folgenden Farben sind in Lava erhältlich:
- Etna (Sonstiges) – Format: 430x120
- Marsili (Sonstiges) – Format: 430x120
- Salina (Sonstiges) – Format: 430x120
- Vesuvio (Sonstiges) – Format: … Möchten Sie mehr sehen?","Die folgenden Farben sind in Lava erhältlich:
- Etna (Sonstiges) – Format: 430x120
- Marsili (Sonstiges) – Format: 430x120
- Salina (Sonstiges) – Format: 430x120
- Vesuvio (Sonstiges) – Format: … … Vill du se fler?"
0,DE,answer_full_de,TRUNCATED,"Die folgenden Farben sind in Lava erhältlich:
- Etna (Sonstiges) – Format: 430x120
- Marsili (Sonstiges) – Format: 430x120
- Salina (Sonstiges) – Format: 430x120
- Vesuvio (Sonstiges) – Format: 430x120","Die folgenden Farben sind in Lava erhältlich:
- Etna (Sonstiges) – Format: 430x120
- Marsili (Sonstiges) – Format: 430x120
- Salina (Sonstiges) – Format: 430x120
- Vesuvio (Sonstiges) – Format: … Vill du se fler?"
1,SE,answer_full_se,TRUNCATED,"Följande färger finns i Albero:
- Gelso (Övrigt) – format: 20x120cm40x120cm60x60cm80x180cm80x80cm- Mandorlo (Övrigt) – format: 20x120cm40x120cm60x60cm80x180cm80x80cm- Nocciolo (Övrigt) – format: 20x120cm40x120cm60x60cm80x180cm80x80cm","Följande färger finns i Albero:
- Gelso (Övrigt) – format: 20x120cm40x120cm60x60cm80x180cm80x80cm- Mandorlo (Övrigt) – format: 20x120cm40x120cm60x60cm80x180cm80x80cm- Nocciolo (Övrigt) – format: … Vill du se fler?"
1,SE,answer_full_se,FORMAT_NORMALIZED,"Följande färger finns i Albero:
- Gelso (Övrigt) – format: 20x120cm40x120cm60x60cm80x180cm80x80cm- Mandorlo (Övrigt) – format: 20x120cm40x120cm60x60cm80x180cm80x80cm- Nocciolo (Övrigt) – format: … Vill du se fler?","Följande färger finns i Albero:
- Gelso (Övrigt) – format: 20x120 cm40x120 cm60x60 cm80x180 cm80x80 cm- Mandorlo (Övrigt) – format: 20x120 cm40x120 cm60x60 cm80x180 cm80x80 cm- Nocciolo (Övrigt) – format: … Vill du se fler?"
1,EN,answer_en,TRUNCATED,"The following colors are available in Albero:
- Gelso (Other) – format: 20x120cm, 40x120cm, 60x60cm, 80x180cm, 80x80cm
- Mandorlo (Other) – format: 20x120cm, 40x120cm, 60x60cm, 80x180cm, 80x80cm
- … Would you like to see more?","The following colors are available in Albero:
- Gelso (Other) – format: 20x120cm, 40x120cm, 60x60cm, 80x180cm, 80x80cm
- Mandorlo (Other) – format: 20x120cm, 40x120cm, 60x60cm, 80x180cm, 80x80cm
- … … Vill du se fler?"
1,EN,answer_en,FORMAT_NORMALIZED,"The following colors are available in Albero:
- Gelso (Other) – format: 20x120cm, 40x120cm, 60x60cm, 80x180cm, 80x80cm
- Mandorlo (Other) – format: 20x120cm, 40x120cm, 60x60cm, 80x180cm, 80x80cm
- … … Vill du se fler?","The following colors are available in Albero:
- Gelso (Other) – format: 20x120 cm, 40x120 cm, 60x60 cm, 80x180 cm, 80x80 cm
- Mandorlo (Other) – format: 20x120 cm, 40x120 cm, 60x60 cm, 80x180 cm, 80x80 cm
- … … Vill du se fler?"
1,EN,answer_full_en,TRUNCATED,"The following colors are available in Albero:
- Gelso (Other) – format: 20x120cm, 40x120cm, 60x60cm, 80x180cm, 80x80cm
- Mandorlo (Other) – format: 20x120cm, 40x120cm, 60x60cm, 80x180cm, 80x80cm
- Nocciolo (Other) – format: 20x120cm, 40x120cm, 60x60cm, 80x180cm, 80x80cm","The following colors are available in Albero:
- Gelso (Other) – format: 20x120cm, 40x120cm, 60x60cm, 80x180cm, 80x80cm
- Mandorlo (Other) – format: 20x120cm, 40x120cm, 60x60cm, 80x180cm, 80x80cm
- … Vill du se fler?"
1,EN,answer_full_en,FORMAT_NORMALIZED,"The following colors are available in Albero:
- Gelso (Other) – format: 20x120cm, 40x120cm, 60x60cm, 80x180cm, 80x80cm
- Mandorlo (Other) – format: 20x120cm, 40x120cm, 60x60cm, 80x180cm, 80x80cm
- … Vill du se fler?","The following colors are available in Albero:
- Gelso (Other) – format: 20x120 cm, 40x120 cm, 60x60 cm, 80x180 cm, 80x80 cm
- Mandorlo (Other) – format: 20x120 cm, 40x120 cm, 60x60 cm, 80x180 cm, 80x80 cm
- … Vill du se fler?"
1,DA,answer_da,TRUNCATED,"Følgende farver findes i Albero:
- Gelso (Andet) – format: 20x120cm, 40x120cm, 60x60cm, 80x180cm, 80x80cm
- Mandorlo (Andet) – format: 20x120cm, 40x120cm, 60x60cm, 80x180cm, 80x80cm
- Nocciolo … Vil du se flere?","Følgende farver findes i Albero:
- Gelso (Andet) – format: 20x120cm, 40x120cm, 60x60cm, 80x180cm, 80x80cm
- Mandorlo (Andet) – format: 20x120cm, 40x120cm, 60x60cm, 80x180cm, 80x80cm
- Nocciolo … Vil … Vill du se fler?"
1,DA,answer_da,FORMAT_NORMALIZED,"Følgende farver findes i Albero:
- Gelso (Andet) – format: 20x120cm, 40x120cm, 60x60cm, 80x180cm, 80x80cm
- Mandorlo (Andet) – format: 20x120cm, 40x120cm, 60x60cm, 80x180cm, 80x80cm
- Nocciolo … Vil … Vill du se fler?","Følgende farver findes i Albero:
- Gelso (Andet) – format: 20x120 cm, 40x120 cm, 60x60 cm, 80x180 cm, 80x80 cm
- Mandorlo (Andet) – format: 20x120 cm, 40x120 cm, 60x60 cm, 80x180 cm, 80x80 cm
- Nocciolo … Vil … Vill du se fler?"
