Tab,Row,Col,Original,Patched,ChangeType
SE_FULL_LOOKUP,2,SE,60x60,60x60cm,NORMALIZED
SE_FULL_LOOKUP,528,SE,60x120,60x120cm,NORMALIZED
SE_FULL_LOOKUP,529,SE,80x80,80x80cm,NORMALIZED
SE_FULL_LOOKUP,530,SE,90x90,90x90cm,NORMALIZED
SE_FULL_LOOKUP,531,SE,100x100,100x100cm,NORMALIZED
SE_FULL_LOOKUP,532,SE,120x120,120x120cm,NORMALIZED
SE_FULL_LOOKUP,533,SE,40x80,40x80cm,NORMALIZED
SE_FULL_LOOKUP,534,SE,45x90,45x90cm,NORMALIZED
SE_FULL_LOOKUP,536,SE,100x100,100x100cm,NORMALIZED
SE_FULL_LOOKUP,538,SE,120x120,120x120cm,NORMALIZED
SE_FULL_LOOKUP,539,SE,120x240,120x240cm,NORMALIZED
SE_FULL_LOOKUP,545,SE,20x120,20x120cm,NORMALIZED
SE_FULL_LOOKUP,554,SE,30x120,30x120cm,NORMALIZED
SE_FULL_LOOKUP,563,SE,40x120,40x120cm,NORMALIZED
SE_FULL_LOOKUP,564,SE,40x180,40x180cm,INVALID
SE_FULL_LOOKUP,565,SE,40x80,40x80cm,NORMALIZED
SE_FULL_LOOKUP,566,SE,430x120,430x120cm,INVALID
SE_FULL_LOOKUP,567,SE,440x120,440x120cm,INVALID
SE_FULL_LOOKUP,569,SE,45x90,45x90cm,NORMALIZED
SE_FULL_LOOKUP,570,SE,4x120,4x120cm,INVALID
SE_FULL_LOOKUP,571,SE,4x60,4x60cm,INVALID
SE_FULL_LOOKUP,574,SE,560x60,560x60cm,INVALID
SE_FULL_LOOKUP,575,SE,60x120,60x120cm,NORMALIZED
SE_FULL_LOOKUP,576,SE,60x60,60x60cm,NORMALIZED
SE_FULL_LOOKUP,577,SE,80x180,80x180cm,NORMALIZED
SE_FULL_LOOKUP,578,SE,80x80,80x80cm,NORMALIZED
SE_FULL_LOOKUP,579,SE,860x60,860x60cm,INVALID
SE_FULL_LOOKUP,580,SE,8x120,8x120cm,INVALID
SE_FULL_LOOKUP,581,SE,90x90,90x90cm,NORMALIZED
EN_FULL_LOOKUP,2,EN,60x60,60x60cm,NORMALIZED
EN_FULL_LOOKUP,528,EN,60x120,60x120cm,NORMALIZED
EN_FULL_LOOKUP,529,EN,80x80,80x80cm,NORMALIZED
EN_FULL_LOOKUP,530,EN,90x90,90x90cm,NORMALIZED
EN_FULL_LOOKUP,531,EN,100x100,100x100cm,NORMALIZED
EN_FULL_LOOKUP,532,EN,120x120,120x120cm,NORMALIZED
EN_FULL_LOOKUP,533,EN,40x80,40x80cm,NORMALIZED
EN_FULL_LOOKUP,534,EN,45x90,45x90cm,NORMALIZED
EN_FULL_LOOKUP,539,EN,120x240,120x240cm,NORMALIZED
EN_FULL_LOOKUP,545,EN,20x120,20x120cm,NORMALIZED
EN_FULL_LOOKUP,571,EN,4x60,4x60cm,INVALID
EN_FULL_LOOKUP,576,EN,60x60,60x60cm,NORMALIZED
DA_FULL_LOOKUP,2,DA,60x60,60x60cm,NORMALIZED
DA_FULL_LOOKUP,528,DA,60x120,60x120cm,NORMALIZED
DA_FULL_LOOKUP,529,DA,80x80,80x80cm,NORMALIZED
DA_FULL_LOOKUP,530,DA,90x90,90x90cm,NORMALIZED
DA_FULL_LOOKUP,531,DA,100x100,100x100cm,NORMALIZED
DA_FULL_LOOKUP,532,DA,120x120,120x120cm,NORMALIZED
DA_FULL_LOOKUP,533,DA,40x80,40x80cm,NORMALIZED
DA_FULL_LOOKUP,534,DA,45x90,45x90cm,NORMALIZED
DA_FULL_LOOKUP,545,DA,20x120,20x120cm,NORMALIZED
DA_FULL_LOOKUP,571,DA,4x60,4x60cm,INVALID
DA_FULL_LOOKUP,576,DA,60x60,60x60cm,NORMALIZED
DE_FULL_LOOKUP,2,DE,60x60,60x60cm,NORMALIZED
DE_FULL_LOOKUP,528,DE,60x120,60x120cm,NORMALIZED
DE_FULL_LOOKUP,529,DE,80x80,80x80cm,NORMALIZED
DE_FULL_LOOKUP,530,DE,90x90,90x90cm,NORMALIZED
DE_FULL_LOOKUP,531,DE,100x100,100x100cm,NORMALIZED
DE_FULL_LOOKUP,532,DE,120x120,120x120cm,NORMALIZED
DE_FULL_LOOKUP,533,DE,40x80,40x80cm,NORMALIZED
DE_FULL_LOOKUP,534,DE,45x90,45x90cm,NORMALIZED
DE_FULL_LOOKUP,539,DE,120x240,120x240cm,NORMALIZED
DE_FULL_LOOKUP,545,DE,20x120,20x120cm,NORMALIZED
DE_FULL_LOOKUP,571,DE,4x60,4x60cm,INVALID
DE_FULL_LOOKUP,576,DE,60x60,60x60cm,NORMALIZED
